published_month,theme,count
1,Human Interest,4
1,Non-Physical Health,1
1,Politics and Blame,1
1,Prevention and Action,14
1,Statistics and Modeling,12
1,Virus information,21
2,Economy,1
2,Human Interest,11
2,Non-Physical Health,1
2,Other,4
2,Politics and Blame,15
2,Prevention and Action,16
2,Statistics and Modeling,12
2,Virus information,14
3,Human Interest,6
3,Non-Physical Health,5
3,Other,3
3,Politics and Blame,11
3,Prevention and Action,22
3,Statistics and Modeling,18
3,Treatment,5
3,Virus information,19
4,Economy,6
4,Human Interest,4
4,Non-Physical Health,6
4,Other,8
4,Politics and Blame,12
4,Prevention and Action,15
4,Statistics and Modeling,7
4,Treatment,3
4,Virus information,10
5,Economy,5
5,Human Interest,8
5,Non-Physical Health,3
5,Other,7
5,Politics and Blame,13
5,Prevention and Action,22
5,Statistics and Modeling,10
5,Treatment,2
5,Virus information,9
6,Economy,3
6,Human Interest,4
6,Non-Physical Health,3
6,Other,3
6,Politics and Blame,15
6,Prevention and Action,14
6,Statistics and Modeling,9
6,Treatment,1
6,Virus information,7
7,Economy,5
7,Human Interest,5
7,Non-Physical Health,1
7,Other,1
7,Politics and Blame,31
7,Prevention and Action,11
7,Statistics and Modeling,18
7,Treatment,3
7,Virus information,3
8,Economy,3
8,Human Interest,1
8,Other,3
8,Politics and Blame,12
8,Prevention and Action,8
8,Statistics and Modeling,5
8,Virus information,1
